,valor ,valor original,marca,distribuidora ,link,,KIMIMO,PILÃO,SANTA CLARA
1,"R$10,49","R$10,71",KIMIMO 250g,CR SUPERMERCADOS,https://crsupermercados.com.br/products/cafe-kimimo-250g?variant=44933541724387&currency=BRL&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqdlbVOX1ZqGnxvDAA8ohcdTLrvHIiQgSMjEgF8gJs9zc0NBPA5bmQ,MÉDIA,"R$9,52","R$15,05","10,2325"
2,"R$8,99","R$10,77",KIMIMO 250g,MERCADO ATACADO,https://www.mercantilatacado.com.br/cafe-em-po-kimimo-torrado-e-moido-a-vacuo-forte-e-encorpado-pacote-250g/p?idsku=1161&srsltid=AfmBOooMnG8y7Gwn8_NdkqSjhlqzY8a4vlqHy4kNZTDDQbxa8ekQZCPVOjQ,MEDIANA,"R$9,49","R$14,25","10,24"
3,"R$12,60","R$12,99",KIMIMO 250g,BEMOL,https://www.bemol.com.br/cafe-kimimo-a-vacuo-250g-p1164009?tsid=66,MINIMO,"R$4,49","R$7,89","8,46"
4,"R$9,32","R$10,89",KIMIMO 250g,GRUPO FAUSOTO,https://www.fasouto.com.br/produtos/detalhe/1521?srsltid=AfmBOopaDZbFzI4YiObXetRDVfK6isRDutzPSpF1nOHh1J3TIcR76-AGCGU,MÁXIMO ,"R$12,60","R$32,22","11,99"
5,"R$10,60","R$10,95",KIMIMO 250g,REDE COMPRAS,https://www.redecomprasdelivery.com.br/produtos/detalhe/15451?srsltid=AfmBOoolzuIcWm8xLO5IWk2m1vMVhSbmMd-FNp54kr7nqD3eI0kEnz_4WCM,DESVIO PADRÃO,"1,661847211","5,546668141","1,455526823"
6,"R$10,29","R$11,01",KIMIMO 250g,RAPPI,https://www.rappi.com.br/p/kimimo-cafe-a-vacuo-29562?retailer_id=100&store_id=900154477&store_type=market&market_type=superlagoa&product_id=2093748622&master_product_id=29562&show_detail=true&context=product_detail_integration&region_id=550800,AMPLITUDE,"R$8,11","R$24,33","3,53"
7,"R$8,99","R$11,07",KIMIMO 250g,DULAR,https://www.dularsupermercados.com/cafe-kimimo-250g-a-vacuo,,,,
8," R$11,24","R$11,13",KIMIMO 250g,G BARBOSA ,https://www.gbarbosa.com.br/cafe-kimimo-moido-250g/p,,,,
9,"R$11,19","R$11,19",KIMIMO 250g,PÃO NOSSO,https://supermercadopaonosso.instabuy.com.br/p/Cafe-Torrado-e-Moido-Forte-e-Encorpado-Kimimo-Pacote-250g,,,,
10,"R$11,25","R$11,25",KIMIMO 250g,SUPER NOVA,https://www.supernovaera.com.br/cafe-torrado-e-moido-em-po-kimimo-pacote-250g/p,,,,
11,"R$11,39","R$11,39",KIMIMO 250g,PATIO GORMET,https://www.patiogourmet.com.br/cafe-torrado-e-moido-em-po-kimimo-pacote-250g/p,,,,
12,"R$9,49","R$9,49",KIMIMO 250g,MAIS RODRIGUES,https://supermercadomaisrodrigues.instabuy.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Forte-e-Encorpado-Kimimo-Pacote-250g,,,,
13,"R$11,69","R$11,69",KIMIMO 250g,WHEY NATURE,https://wheynature.com/produtos/cafe-kimimo-250g/,,,,
14,"R$8,99","R$8,99",KIMIMO 250g,SITE MERCADO,https://www.sitemercado.com.br/comercialleao/sao-luis-loja-anil-anil-rua-tarquinio-lopes/produto/cafe-kimimo-vacuo-embalagem-250g,,,,
15,"R$9,15","R$9,15",KIMIMO 250g,NUNES PEIXOTO,https://loja.nunespeixoto.com.br/itabaiana/produto/cafe-kimimo-avacuo-250g-1445/,,,,
16,"R$9,75","R$9,75",KIMIMO 250g,SHOPEE,https://shopee.com.br/Caf%C3%A9-Kimimo-Almofada-250g-i.575494598.21217423114?gad_source=1&gclid=CjwKCAjwqf20BhBwEiwAt7dtdYrFW59Xi8XEgul_CdczXvWAJ580pqbPDsayIAQss3ct0WIPTgsYWRoCkvsQAvD_BwE&is_from_login=true,,,,
17,"R$8,89","R$8,89",KIMIMO 250g,MUNDIAL DELIVERY,https://mundialdelivery.com/p/Cafe-Torrado-e-Moido-a-Vacuo-Forte-e-Encorpado-Kimimo-Pacote-250g,,,,
18,"R$8,42","R$8,50",KIMIMO 250g,ARAÚJO CESTAS,https://www.araujocestas.com.br/cafe-em-po-kimimo-250g-tradicional,,,,
19,"R$9,49","R$9,49",KIMIMO 250g,MACHADO CARNES,https://www.machadocarnes.com.br/cafe-kimimo-vacuo-250g-5349/p,,,,
20,"R$11,49","R$11,49",KIMIMO 250g,JUNIOR MERCADO,https://mercadomjr.com.br/loja/produto/cafe-kimimo-tradicional-250g-26622/,,,,
21,"R$9,89","R$9,89",KIMIMO 250g,PREÇO BAIXO,https://www.precobaixosupermercado.com.br/p/Cafe-Torrado-e-Moido-Forte-e-Encorpado-Kimimo-Pacote-250g,,,,
22,"R$10,39","R$10,39",KIMIMO 250g,HOLANDAJL,https://mercadoholandajl.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Forte-e-Encorpado-Kimimo-Pacote-250g,,,,
23,"R$8,29","R$8,29",KIMIMO 250g,ATACADÃO,https://www.atacadao.com.br/cafe-kimimo-vacuo-pacote-com-250g-8785/p,,,,
24,"R$9,99","R$9,99",KIMIMO 250g,ANA RISOLANGE,https://www.superanarisorlange.com.br/loja-01/produto/cafe-vacuo-kimimo-250g-1410,,,,
25,"R$10,49","R$10,49",KIMIMO 250g,MERCADO DA PRAÇA,https://supermercadodapraca.com.br/supermercado-da-praca/produto/cafe-kimimo-almofada-250g-41736/,,,,
26,"R$4,49","R$4,49",KIMIMO 250g,MERCEARIA DOCE,https://sandbox.carrinhocerto.com.br/loja-5/produto/cafe-kimimo-vacuo-250g-139142/,,,,
27,"R$9,39","R$9,39",KIMIMO 250g,S.M. GOIANA,https://www.supergoiana.com.br/centro/produto/cafe-kimimo-250g-almofada-2044,,,,
28,"R$8,29","R$8,29",KIMIMO 250g,BOM DIA S.M.,https://bomdiasupermercado.net.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Forte-e-Encorpado-Kimimo-Pacote-250g,,,,
29,"R$7,75","R$7,75",KIMIMO 250g,SITE MERCADO ,https://www.sitemercado.com.br/superdamasceno/aracati-loja-centro-centro-r-cel-pompeu/produto/cafe-kimimo-vacuo-embalagem-250g?cart=open,,,,
30,"R$6,99","R$7,99",KIMIMO 250g,PRIMO S.M.,https://primosupermercado.com.br/loja/produto/cafe-kimimo-forte-e-encorpado-250g-12446/,,,,
31,"R$19,90","R$19,90",PILÃO 250g,MERCADO LIVRE,https://www.mercadolivre.com.br/cafe-torrado-e-moido-tradicional-pilo-pacote-250g/p/MLB18393271?matt_tool=18956390&utm_source=google_shopping&utm_medium=organic&item_id=MLB3748533407&from=gshop,,,,
32,"R$17,01","R$17,01",PILÃO 250g,AMAZON,https://a.co/d/f21guhZ,,,,
33,"R$24,50","R$24,50",PILÃO 250g,SHOPPE,https://shopee.com.br/product/296826692/22892996070?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVHQ3ZkZSUTMrR3pBWmZZNzdrcnRBM0kzS0RWVjZFMVA5ZG9QdGpqYXIvQ0FtcGM5VnJza0duVHpLSEdCVXMrNlppUjZiVldCSjFVdjF2YUlsdTR0UldFMUFGU2xsQ1FDUUN5cnZ2bElEbHczak5uMWhoVEJxRFZSYURqYjlPVTZRPT0&srsltid=AfmBOorAM6xqAdCn_AGBP8isog3IXEz5SDefOndcDxcvaOUNlth1aJngZSE,,,,
34,"R$8,70","R$8,70",PILÃO 250g,MAGAZINE LUIZA,https://m.magazineluiza.com.br/cafe-torrado-e-moido-vacuo-pilao-250g/p/gd493ek674/me/cfee/?&seller_id=mercadinholucas-sdc&utm_source=google&utm_medium=pla&utm_campaign=&partner_id=68055&gclsrc=aw.ds&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3rlgvKyWzNVg0BSfMf559uFyBOhavaR53o48XzXnz2lEO1NQlzSO0BoCYT8QAvD_BwE,,,,
35,"R$7,89","R$7,89",PILÃO 250g,MAGAZINE LUIZA,https://m.magazineluiza.com.br/cafe-pilao-tradicional-250g/p/dbja9d8a34/me/cfee/?&seller_id=mercadinhobarateiro&utm_source=google&utm_medium=pla&utm_campaign=&partner_id=68055&gclsrc=aw.ds&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3n-0Xc-6OFfl1ldsfxHBGc34-lBeQIwNuj0vU6DT34C0U9IAO-gdnRoCvpAQAvD_BwE,,,,
36,"R$10,99","R$10,99",PILÃO 250g,MERCADO LIVRE ,https://www.mercadolivre.com.br/cafe-torrado-e-moido-a-vacuo-tradicional-pilo-pacote-250g/p/MLB18393645?item_id=MLB3419587083&from=gshop&matt_tool=42251103&matt_word=&matt_source=google&matt_campaign_id=14302215726&matt_ad_group_id=125382901625&matt_match_type=&matt_network=g&matt_device=m&matt_creative=539491050191&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=735098660&matt_product_id=MLB18393645-product&matt_product_partition_id=1799753327946&matt_target_id=pla-1799753327946&cq_src=google_ads&cq_cmp=14302215726&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3rvLy0THwi6S7tM_QcXrMv6NP1G64gNWGuk22hdFxIMVulRUTO_NeBoChyIQAvD_BwE,,,,
37,"R$8,20","R$8,20",PILÃO 250g,ESSENCIA BRASILEIRA ,https://www.essenciabrasileira.com.br/produto/pilao-cafe-torrado-e-moido-a-vacuo-tradicional-pacote-250g/?gad_source=1&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3mHVZ8i8atSXLQs3N0-93T7b0XJXCl8KF7hvnjQ7pPuxei46xUp_AhoCkz4QAvD_BwE,,,,
38,"R$14,50","R$14,50",PILÃO 250g,SHOPPE,https://www.google.com/search?client=ms-android-samsung-ss&sca_esv=d8b6740b587384a7&sca_upv=1&sxsrf=ADLYWIKej05zUPgULvqWoYpHJimePltqkw:1721866216306&q=Caf%C3%A9+Pil%C3%A3o+250g+pre%C3%A7o&sa=X&ved=2ahUKEwjNx7HB88CHAxVdBrkGHQ-6JMgQ1QJ6BAh5EAE&biw=384&bih=719&dpr=1.88,,,,
39,"R$18,52","R$18,52",PILÃO 250g,SHOPPE,https://shopee.com.br/product/371080880/23397497192?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVHQ3ZkZSUTMrR3pBWmZZNzdrcnRBM0FyQ3FhRk1DS2pYVWhSSDc0Tks2YnAwcW4ybzJOS1JXQTUyNzVEKzNQZUw2dTNmTDkzaE1QOHNMeVQyNFRVUnhRMzRET1R4TXdOQmYyMXdJYnlVakdQRWhXNUoxU1AvQUNORmhJZlVBQzR3PT0&gad_source=1&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3mm0FZysEKB99vkGr9y08Upwc7HBCuA8wudgq6hHEfgVixZXtnQTXhoCUJgQAvD_BwE,,,,
40,"R$15,30","R$15,30",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-torrado-e-moido-vacuo-pilao-250g/p/behkb1jh2d/me/cfee/?&seller_id=casasantaluzia2&utm_source=google&utm_medium=pla&utm_campaign=&partner_id=68055&gclsrc=aw.ds&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3mYRoqnHy--sLcpVbeqvBf4gT2johIJ1CzA9iJYDTzCR-LyoyuZXyxoC3jwQAvD_BwE,,,,
41,"R$17,99","R$17,99",PILÃO 250g,SHOPPE,https://shopee.com.br/product/589126361/22792371364?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVHQ3ZkZSUTMrR3pBWmZZNzdrcnRBM0RVaEg2bytWTWtvMUovZ01VN2Q1OXQyVWlGS2JmMzU2dTRPRXpISGVVMzZwTFlCZ1gxYlMzZFdRNXNDdWhKTlU2bU52TTZVczU1UlIzYXRxZDdZUEhBRzNrajhpd09UZFVqalJQUmpNWVB3PT0&gad_source=1&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3tyLz-BNvvHJuWysB5oTgvhu-WdtURAyMwQgpHsQpMK1ldivGEVEihoCqu0QAvD_BwE,,,,
42,"R$20,99","R$20,99",PILÃO 250g,SHOPPE,https://shopee.com.br/product/402149901/23513180741?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVHQ3ZkZSUTMrR3pBWmZZNzdrcnRBMlhLNlpHOGNCMm5XdFNSeGxXWGVRNmppRUdYTzNtNkJCbnlHREwxL3ZMYjl5YS9uQTBoV0lPQk5jVVVIR1NrdGFwUVk4cG1NaFcwQjVDcHl3YkxxS1FOT2gzWm9uTmlGNlZnMmtBbitrQU5BPT0&gad_source=1&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3p-hcPAf1BFsoYHrvwE-3V8zDgQZ2N4SyHiBMvSfFAB6Ywl1kZaKBRoCXyUQAvD_BwE,,,,
43,"R$13,49","R$13,49",PILÃO 250g,SUPER PRIX,https://www.superprix.com.br/cafe-torrado-e-moido-pilao-tradicional-250g/p?srsltid=AfmBOorxgx4fEzftKCxMQVW3lI6o0EsxNl-C1dVIP_dRYU3p3Y_AZJBk&uam=true&mobile=4,,,,
44,"R$9,99","R$9,99",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-torrado-e-moido-tradicional-vacuo-250g/p/dbch26bg4h/me/cfee/,,,,
45,"R$19,89","R$19,89",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-torrado-e-moido-tradicional-a-vacuo-250g/p/cg8h8g45d2/me/cfee/,,,,
46,"R$9,35","R$9,35",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-tradicional-almofada-250g/p/gaae458351/me/cfee/,,,,
47,"R$16,08","R$16,08",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-po-pilao-pct-250g-pilao/p/gfed4275eb/me/cfee/,,,,
48,"R$19,30","R$19,30",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-vacuo-250g-tradicional-pilao/p/ef7cjde460/me/cfee/,,,,
49,"R$22,90","R$22,90",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-torrado-e-moido-tradicional-a-vacuo-250g/p/fd9175j398/me/cfee/,,,,
50,"R$14,90","R$14,90",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-torrado-e-moido-tradicional-a-vacuo-250g/p/fd9175j398/me/cfee/,,,,
51,"R$15,00","R$15,00",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-tradicional-almofada-250g/p/aa8688ck4a/me/cfee/,,,,
52,"R$32,22","R$35,80",PILÃO 250g,MAGAZINE LUIZA ,https://m.magazineluiza.com.br/cafe-pilao-torrado-e-moido-tradicional-a-vacuo-250g/p/ea6hf668ba/me/cfee/,,,,
53,"R$10,59","R$10,59",PILÃO 250g,G.BARBOSA,https://www.gbarbosa.com.br/cafe-pilao-tradicional-almofada-250g/p?gad_source=1&gclid=CjwKCAjwzIK1BhAuEiwAHQmU3knNmlIom2kURCMH8biCJyM1bKhTaky0EOdBnoZOWAgp0vCbvxOkQRoCZgUQAvD_BwE,,,,
54,"R$11,49","R$11,49",PILÃO 250g,SUPER LIDER,https://supermercadolider.instabuy.com.br/p/Cafe-Torrado-e-Moido-Tradicional-Pilao-Pacote-250g,,,,
55,"R$11,48","R$11,49",PILÃO 250g,SUPER BOM,https://www.redesuperbom.com.br/p/cafe-pilao-250g-tradicional/1446/,,,,
56,"R$12,77","R$13,44",PILÃO 250g,FESTPAN,https://www.loja.festpan.com.br/produto/cafe-torrado-e-moido-tradicional-almofada-250g-pilao.html?srsltid=AfmBOopIllGb2Ls5f4YeeFycTuyh_4YPTuCH5e7uNWJRk3OL0DW6N34G,,,,
57,"R$11,79","R$11,79",PILÃO 250g,PÃO DE AÇUCAR ,https://www.paodeacucar.com/produto/152472/cafe-pilao-torrado-e-moido-tradicional-almofada-250g,,,,
58,"R$8,98","R$8,89",PILÃO 250g,GIASSI,https://www.giassi.com.br/cafe_torrado_e_moido_a_vacuo_tradicional_pilao_pacote_250g_120995/p,,,,
59,"R$13,99","R$13,99",PILÃO 250g,EMPÓRIO VARANDA,https://www.varanda.com.br/cafe-torrado-e-moido-em-po-pacote-pil-o-250g.html,,,,
60,"R$12,69","R$12,69",PILÃO 250g,SUPER MERCADO MAIS,https://www.supermercadosmais.com.br/produto/5187/cafe-pilao-250g,,,,
61,"R$8,85","R$8,85",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-santa-clara-moido-250g-almofada/p/kf517aeg73/me/cfee/,,,,
62,"R$9,68","R$9,68",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-classico-torrado-e-moido-santa-clara-250g/p/gc45h4502j/me/albs/,,,,
63,"R$8,95","R$8,95",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-santa-clara-moido-250g-almofada/p/ja00c3b6f7/me/cfee/,,,,
64,"R$8,99","R$8,99",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-santa-clara-moido-250g-almofada/p/ef7g8k43fa/me/cfee/,,,,
65,"R$10,00","R$10,00",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-santa-clara-classico-250g-cafezinho-cafe-da-manha-xicara/p/fhdafb35cc/me/cfee/,,,,
66,"R$10,25","R$10,25",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-santa-clara-moido-250g-almofada/p/jj6h877dh9/me/cfee/,,,,
67,"R$10,90","R$10,90",SANTA CLARA  250g,MAGAZINE LUIZA,https://www.magazineluiza.com.br/cafe-santa-clara-moido-250g-almofada/p/fbkg0516k0/me/cfee/,,,,
68,"R$9,99","R$9,99",SANTA CLARA  250g,MERCADO OLHO D'AGUA,https://superolhodagua.instabuy.com.br/p/Cafe-Santa-Clara-250G-Almofada-Class-Almo,,,,
69,"R$9,79","R$10,95",SANTA CLARA  250g,GBARBOSA,https://www.gbarbosa.com.br/cafe-em-po-santa-clara-torrado-e-moido-pacote-250g/p?srsltid=AfmBOoopVRQfqz1HIjeP-FX2iFm-nJglUOVa73c2ByZLhVKbCTr853hB,,,,
70,"R$10,85","R$10,85",SANTA CLARA  250g,HIPERIDEAL,https://www.hiperideal.com.br/cafe-santa-clara-vacuo-250g/p,,,,
71,"R$9,49","R$9,49",SANTA CLARA  250g,AZUL ATACAREJO,https://www.azulatacarejo.com.br/cafe-moido-santa-clara-calssic-a-vacuo-250g-21526/p,,,,
72,"R$9,89","R$11,49",SANTA CLARA  250g,MERCANTIL ATACADO,https://www.mercantilatacado.com.br/cafe-em-po-santa-clara-torrado-e-moido-pacote-250g/p?srsltid=AfmBOopuPnAeIj3anX7BeU86v8sw22U4H4vdE5b2AZi4PxA1W3VXxGX6,,,,
73,"R$26,30","R$26,30",SANTA CLARA  250g,MERCADO LIVRE,https://www.mercadolivre.com.br/cafe-torrado-e-moido-classico-santa-clara-pacote-250g/p/MLB18396036#searchVariation%3DMLB18396036%26position%3D3%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Dd5602edc-2372-4547-a3a4-60c1a0d856fd,,,,
74,"R$28,60","R$28,60",SANTA CLARA  250g,MERCADO LIVRE,https://produto.mercadolivre.com.br/MLB-3684522415-cafe-classico-torrado-e-moido-santa-clara-250g-_JM#position%3D28%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3Dbeaa862d-5a46-46ed-9e79-9925b9c82203,,,,
75,"R$11,01","R$11,01",SANTA CLARA  250g,DESKONTÃO,https://www.deskontao.com.br/cafe-almofada-santa-clara-250g-2406-1007,,,,
76,"R$10,25","R$10,25",SANTA CLARA  250g,PREÇO BAIXO,https://www.precobaixosupermercado.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Classico-Santa-Clara-Pacote-250g,,,,
77,"R$6,99","R$9,97",SANTA CLARA  250g,CAMPELO,https://www.campeloonline.com.br/p/Cafe-Santa-Clara-Vacuo-250G,,,,
78,"R$9,45","R$9,99",SANTA CLARA  250g,MUNDIAL,https://www.mundialdelivery.com/p/Cafe-Santa-Clara-250G-A-Vacuo,,,,
79,"R$9,90","R$9,90",SANTA CLARA  250g,CASA VIEIRA,https://www.delivery.casavieira.com.br/cafe-santa-clara-classico-250g,,,,
80,"R$9,49","R$9,49",SANTA CLARA  250g,DULAR,https://www.dularsupermercados.com/cafe-santa-clara-250g-a-vacuo,,,,
81,"R$10,99","R$10,90",SANTA CLARA  250g,HOLANDA JL,https://mercadoholandajl.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Classico-Santa-Clara-Pacote-250g,,,,
82,"R$11,25","R$11,25",SANTA CLARA  250g,MERCADO JUNIOR,https://mercadomjr.com.br/loja/produto/cafe-santa-clara-tradicional-250g-26619/,,,,
83,"R$14,99","R$14,99",SANTA CLARA  250g,BRAVI,https://www.bravidistribuidora.com.br/cafe-classic-almofada-santa-clara-691-1,,,,
84,"R$14,99","R$10,49",SANTA CLARA  250g,CR SUPER MERCADO,https://crsupermercados.com.br/products/cafe-santa-clara-pct-250g?srsltid=AfmBOopoSfb8HiJWKDBgCHfFd5JFuDqFhBoiGBNnGCNAr736wTYg6tqv,,,,
85,"R$10,49","R$11,39",SANTA CLARA  250g,PRIMOS SUPER MERCADO,https://primosupermercado.com.br/loja/produto/cafe-santa-clara-250g-classico-12447/,,,,
86,"R$7,99","R$7,99",SANTA CLARA  250g,BOTIQUE GELADA,https://www.boutiquegelada.com.br/loja/produto/cafe-santa-clara-250g-230/,,,,
87,"R$11,99","R$11,99",SANTA CLARA  250g,KARLA MERCADO ,https://www.vemprakarla.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Classico-Santa-Clara-Pacote-250g,,,,
88,"R$10,49","R$10,49",SANTA CLARA  250g,GRUPO PAJEU,https://vendaspajeu.com.br/loja-01/produto/cafe-santa-clara-classico-250g-38532/,,,,
89,"R$9,99","R$9,99",SANTA CLARA  250g,SUPER MERCADO MACEDO,https://www.supermercadomacedo.com/p/Cafe-Santa-Clara-250G-Tradicional,,,,
90,"R$8,46","R$8,46",SANTA CLARA  250g,SUPER CLICK,https://loja.supermerclick.com.br/cafe-torrado-e-moido-a-vacuo-250g-santa-clara,,,,